Time	P1_pad	P3b_pad	P3a_pad	P1_cup	P2_cup	P3_cup	P1_green	P2_green	P3_green	P1_pink	P2_pink	P3_pink	P1_ripe	P2_ripe	P3_ripe	null1	null2	null3
K00764	20.5	10.95	11.64	9.37	12.87	8.55	0	12.02	6.54	13.22	19.09	12.32	10.38	8.7	17.23	0	0	0
K00765	57.24	30.04	0	27.07	30.09	29.37	70.56	26.83	22.7	20.51	22.61	20.43	17.17	0	21.82	0	0	0
K00766	48.73	36.17	47.97	45.3	35.91	43.8	45.28	34.3	43.23	35.8	33.74	32.39	30.09	30.96	28.31	0	0	0
K00767	171.14	69.2	162.19	69.57	80.3	0	0	0	79.74	84.61	110.12	91.84	0	78.18	71.45	0	0	0
K00770	12.71	11.62	11.66	6.4	9.75	9.54	0	0	0	0	0	0	0	0	0	0	0	0
K00771	8.62	40.64	12.62	0	34.04	35.57	31.36	0	22.01	26.88	25.85	19.63	0	26.45	28.51	0	0	0
K00773	3.91	4.67	4.29	2.61	3.59	2.53	0	2.68	0	3.12	2.48	1.93	3.69	2.11	0	0	0	0
K00784	50.22	12.68	12.27	8.93	49.48	10.85	10.95	7.51	10.04	9	6.07	13.88	4.53	13.09	16.56	0	0	0
K00787	121.83	111.72	110	125.74	158.74	140.15	111.57	81.96	87.68	48.17	54.77	0	54.82	61.55	29.6	0	0	0
K00789	582.83	0	509.12	595.68	657.12	0	1068.72	983.04	463.78	0	567.72	0	56.8	360.45	0	0	0	0
K00791	12.17	11.61	11.6	4.51	13.64	4.99	6.12	4.11	9.99	4.68	9.77	9.93	6.95	3.51	3.85	0	0	0
K00793	49.45	42.81	45	40.43	41.78	40.85	152.19	21.44	30.92	18.73	20.22	16.91	13.08	15.07	18.53	0	0	0
K00794	99.91	93.02	81.22	0	110.22	115.04	81.52	92.78	0	0	0	0	93.6	92.45	0	0	0	0
K00797	67.34	124.09	117.08	54	43.04	111.68	37.35	100.3	109.19	104.95	95.19	79.93	0	104.69	93.66	0	0	0
